Email,Password,Role
johndoe@example.com,student123,student
janesmith@example.com,student456,student
mbrown@example.com,student789,student
swilson@example.com,student101,student
dlee@example.com,student102,student
edavis@example.com,student103,student
jtaylor@example.com,student104,student
ajohnson@example.com,student105,student
smith@example.com,lecturer101,lecturer
johnson@example.com,lecturer102,lecturer
williams@example.com,lecturer103,lecturer
anderson@example.com,lecturer104,lecturer
admin@example.com,admin123,admin
accountant@example.com,finance123,accountant
registrar@example.com,reg123,registrar
